Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
28171;Garnay;227;;75.7;;59.8;;-110;;179;;3
28172;Gas;1173;;146.6;;139.4;;49.6;;1115;;8
28173;Gasville-Oisème;455;;91;;82.8;;10.5;;414;;5
28175;La Gaudaine;637;;159.2;;109.3;;48.6;;437;;4
28176;Le Gault-Saint-Denis;2405;;150.3;;113.8;;6.6;;1820;;16
28177;Gellainville;1180;;168.6;;165;;31.5;;1155;;7
28178;Germainville;1006;;251.5;;175.3;;33.6;;701;;4
28180;Gilles;372;;74.4;;76;;1.7;;380;;5
28182;Gohory;1353;;96.6;;88.4;;21.2;;1238;;14
28183;Gommerville;3796;;223.3;;156.2;;31.7;;2656;;17
28184;Gouillons;2449;;222.7;;143.4;;-25.3;;1577;;11
28185;Goussainville;1449;;144.9;;133.3;;52.5;;1333;;10
28187;Guainville;443;;147.8;;152.2;;53;;457;;3
28188;Le Gué-de-Longroi;1109;;221.9;;154.9;;13.8;;775;;5
28189;Guilleville;1945;;176.8;;103.9;;-0.8;;1143;;11
28190;Guillonville;5264;;228.9;;110.6;;6.7;;2543;;23
28191;Hanches;938;;134;;137.7;;43.3;;964;;7
28192;Happonvilliers;1659;;138.3;;129.5;;41.3;;1554;;12
28193;Havelu;929;;464.5;;98.5;;-87.8;;197;;2
28194;Houville-la-Branche;2926;;292.6;;158.2;;-11.6;;1582;;10
28195;Houx;634;;158.6;;138.2;;40.7;;553;;4
28196;Illiers-Combray;4436;;177.4;;97;;18.1;;2424;;25
28197;Intréville;1468;;367;;179.7;;-11.4;;719;;4
28198;Jallans;1542;;308.4;;195;;33;;975;;5
28199;Janville-en-Beauce;7397;;231.2;;119.8;;27;;3833;;32
28200;Jaudrais;532;;133.1;;121;;40.5;;484;;4
28201;Jouy;961;;96.1;;67.9;;3.6;;679;;10
28202;Lamblore;627;;62.7;;68.2;;3.5;;682;;10
28203;Landelles;739;;246.2;;97.3;;22.7;;292;;3
28206;Laons;1684;;187.1;;160.1;;9.6;;1441;;9
28207;Léthuin;838;;209.6;;162.5;;17.6;;650;;4
28208;Levainville;252;;83.9;;66.8;;-10.2;;200;;3
28209;Lèves;400;*;200;*;209.9;*;84;*;420;*;2
28210;Levesville-la-Chenard;1923;;174.8;;114.5;;30.2;;1260;;11
28211;Logron;1979;;94.3;;88.6;;15.6;;1860;;21
28212;Loigny-la-Bataille;5705;;300.2;;124.8;;8.9;;2372;;19
28213;Lormaye;433;;216.7;;220.4;;-42.9;;441;;2
28214;La Loupe;384;;96.1;;42.3;;1.5;;169;;4
28215;Louville-la-Chenard;4549;;324.9;;143.5;;26.6;;2009;;14
28216;Louvilliers-en-Drouais;103;;103.4;;107.8;;27.1;;108;;1
28217;Louvilliers-lès-Perche;454;;151.2;;156.4;;60.9;;469;;3
28218;Lucé;118;;39.4;;35.5;;-25.8;;106;;3
28219;Luigny;1408;;93.9;;78.5;;0.7;;1177;;15
28220;Luisant;0;;N/A;;N/A;;N/A;;0;;0
28221;Lumeau;2642;;220.2;;133.5;;37.7;;1602;;12
28222;Luplanté;1554;;155.4;;135.7;;-9.6;;1357;;10
28223;Luray;936;;312.2;;252.6;;89;;758;;3
28225;Magny;3065;;235.8;;129.4;;20.7;;1682;;13
28226;Maillebois;3107;;135.1;;122.9;;14.4;;2827;;23
28227;Maintenon;355;;71;;75.2;;-6.7;;376;;5
28229;Mainvilliers;1138;;126.5;;96.6;;20.1;;870;;9
28230;Maisons;1098;;183;;108;;-8.7;;648;;6
28231;La Mancelière;208;;104.1;;108.4;;25;;217;;2
28232;Manou;543;;108.5;;80.1;;28;;400;;5
28233;Marboué;3049;;234.5;;123.6;;33.4;;1606;;13
28234;Marchéville;1282;;183.1;;174.5;;42.5;;1222;;7
28235;Marchezais;389;;97.3;;81.8;;32.9;;327;;4
28236;Arcisses;4353;;181.4;;122.4;;38.7;;2938;;24
28237;Marolles-les-Buis;1558;;194.7;;152.7;;54.5;;1222;;8
28239;Marville-Moutiers-Brûlé;3072;;219.5;;159.3;;-33.6;;2231;;14
28240;Meaucé;1534;;191.8;;127.5;;29.8;;1020;;8
28242;Méréglise;384;;192.2;;127.7;;-166.1;;255;;2
28243;Mérouville;2983;;298.3;;133;;1.9;;1330;;10
28245;Meslay-le-Grenet;820;;117.2;;109.3;;22.8;;765;;7
28246;Meslay-le-Vidame;1390;;154.4;;119.9;;-15.3;;1079;;9
28247;Le Mesnil-Simon;443;;110.9;;108.9;;18.5;;436;;4
28248;Le Mesnil-Thomas;2485;;155.3;;119.2;;28.2;;1907;;16
28249;Mévoisins;78;;78.4;;82.9;;N/A;;83;;1
28251;Mézières-en-Drouais;3385;;338.5;;112.2;;-6;;1122;;10
28252;Miermaigne;1810;;164.6;;79.7;;5.8;;877;;11
28253;Mignières;1590;;132.5;;113.1;;10.1;;1357;;12
28254;Mittainvilliers-Vérigny;2249;;204.4;;157.6;;6.7;;1734;;11
28255;Moinville-la-Jeulin;604;*;201.3;*;161.8;*;21.8;*;485;*;3
28256;Moléans;965;;160.8;;86.4;;39.7;;518;;6
28257;Mondonville-Saint-Jean;710;;236.7;;132.9;;8.4;;399;;3
28259;Montboissier;1121;;186.9;;184.9;;86.5;;1110;;6
28260;Montharville;477;*;119.3;*;115.8;*;0.6;*;463;*;4
28261;Montigny-le-Chartif;1027;;79;;60.5;;-11.6;;787;;13
28263;Montigny-sur-Avre;662;;220.8;;144.5;;37.7;;434;;3
28264;Montireau;204;;101.8;;102.8;;-7.9;;206;;2
28265;Montlandon;274;;136.9;;141.7;;45;;283;;2
28267;Montreuil;0;;N/A;;N/A;;N/A;;0;;0
28268;Morainville;2789;;2789.4;;196.4;;-3;;196;;1
28269;Morancez;551;;183.6;;154;;99.8;;462;;3
28270;Moriers;2311;;288.8;;132.2;;39.8;;1058;;8
28271;Morvilliers;578;;115.7;;112.3;;-28;;562;;5
28272;Mottereau;764;;152.8;;115.9;;20.6;;580;;5
28273;Moulhard;2746;*;171.6;*;103.6;*;13.8;*;1658;*;16
28274;Moutiers;4725;;337.5;;179.3;;22.4;;2510;;14
28275;Néron;2332;;259.1;;152;;-30.1;;1368;;9
28276;Neuvy-en-Beauce;1330;;120.9;;72.6;;-14.3;;798;;11
28277;Neuvy-en-Dunois;6240;;328.4;;152.4;;35.7;;2896;;19
28278;Nogent-le-Phaye;1369;;114.1;;108.3;;-1.9;;1299;;12
28279;Nogent-le-Roi;299;;99.6;;79.3;;25.9;;238;;3
28280;Nogent-le-Rotrou;1321;;82.6;;80.3;;27.5;;1286;;16
28281;Nogent-sur-Eure;422;;52.8;;52.8;;-29.3;;422;;8
28282;Nonvilliers-Grandhoux;881;;97.9;;93.6;;39.6;;842;;9
28283;Nottonville;4223;;248.4;;156.4;;3.2;;2659;;17
28284;Oinville-Saint-Liphard;3987;;234.6;;118.2;;23.9;;2009;;17
28285;Oinville-sous-Auneau;793;;113.2;;96.6;;23;;676;;7
28286;Ollé;1515;;126.3;;119.9;;35.4;;1438;;12
28287;Orgères-en-Beauce;3599;;239.9;;127.7;;25.1;;1915;;15
28289;Ormoy;71;;35.5;;28.4;;-45.7;;57;;2
28290;Orrouer;593;;98.9;;82.7;;-4.4;;496;;6
28291;Ouarville;4475;;344.3;;130.8;;15.4;;1700;;13
28292;Ouerre;252;;126.2;;127;;24.3;;254;;2
28293;Oulins;634;;158.4;;134.7;;0.7;;539;;4
28294;Oysonville;881;;146.9;;103.6;;-10.5;;621;;6
28296;Péronville;3575;;325;;179.9;;37.4;;1979;;11
28298;Pierres;1181;;147.6;;121.7;;-0.7;;974;;8
28299;Les Pinthières;339;;112.8;;112.3;;37.1;;337;;3
28300;Poinville;1602;;228.9;;134.9;;17.7;;944;;7
28301;Poisvilliers;499;;124.9;;120.3;;1.6;;481;;4
28302;Pontgouin;1392;;87;;86.5;;-3.2;;1384;;16
28303;Poupry;1889;;314.8;;203.8;;35.8;;1223;;6
28304;Prasville;1240;;155;;82.3;;-2.1;;658;;8
28305;Pré-Saint-Évroult;3553;;273.3;;148.3;;35.7;;1928;;13
28306;Pré-Saint-Martin;1199;;171.3;;112.5;;47.5;;787;;7
28308;Prudemanche;1577;;197.2;;191.2;;-21.7;;1530;;8
28309;Prunay-le-Gillon;3146;;174.8;;122.5;;29.3;;2204;;18
28310;La Puisaye;689;;76.6;;74.3;;6.8;;668;;9
28312;Puiseux;470;;156.8;;147.7;;-3.9;;443;;3
28313;Réclainville;3113;;444.7;;193.7;;2.1;;1356;;7
28314;Les Ressuintes;411;;205.5;;150.1;;18.7;;300;;2
28315;Revercourt;693;;230.9;;244.8;;86.5;;734;;3
28316;Rohaire;563;;93.8;;87.6;;12.4;;526;;6
28317;Roinville;974;;162.3;;123.7;;-13.7;;742;;6
28319;Rouvray-Saint-Denis;2406;;150.4;;103.1;;14.8;;1650;;16
28321;Rouvres;1963;*;218.1;*;194.4;*;44.5;*;1750;*;9
28322;Rueil-la-Gadelière;1187;;107.9;;87.3;;-23.1;;960;;11
28323;Saint-Ange-et-Torçay;991;;90.1;;87.4;;-20.5;;961;;11
28324;Saint-Arnoult-des-Bois;2745;;183;;129.7;;21.8;;1946;;15
28325;Saint-Aubin-des-Bois;1271;;254.2;;209.9;;21;;1049;;5
28326;Saint-Avit-les-Guespières;1031;;114.5;;102.9;;3.5;;926;;9
28327;Saint-Bomer;2703;;168.9;;91.4;;10.6;;1462;;16
28329;Saint-Christophe;455;;151.8;;162.7;;2.1;;488;;3
28330;Villemaury;11570;;206.6;;118.4;;9.3;;6632;;56
28331;Saintigny;3271;;109;;88.3;;23.3;;2648;;30
28332;Sainte-Gemme-Moronval;121;;121.4;;113.2;;24.7;;113;;1
28333;Saint-Denis-des-Puits;519;;86.5;;85.7;;-47.1;;514;;6
28334;Saint-Denis-Lanneray;2332;;145.7;;132.5;;7;;2119;;16
28335;Saint-Éliph;2891;;192.7;;129.6;;27.1;;1944;;15
28336;Saint-Éman;99;;98.9;;100;;32.2;;100;;1
28337;Saint-Georges-sur-Eure;1321;;165.2;;126.2;;-10;;1009;;8
28339;Saint-Germain-le-Gaillard;1424;;237.3;;188.8;;11.7;;1133;;6
28341;Saint-Jean-de-Rebervilliers;1122;;373.9;;303.8;;103;;911;;3
28342;Saint-Jean-Pierre-Fixte;842;;93.6;;60.9;;-5.1;;548;;9
28343;Saint-Laurent-la-Gâtine;340;;85.1;;88;;6;;352;;4
28344;Saint-Léger-des-Aubées;1996;;249.5;;191.4;;41.1;;1532;;8
28346;Saint-Lubin-de-Cravant;501;;166.9;;162.1;;41;;486;;3
28347;Saint-Lubin-de-la-Haye;1457;;112.1;;113.8;;17.7;;1479;;13
28348;Saint-Lubin-des-Joncherets;645;;214.9;;215.4;;64.9;;646;;3
28349;Saint-Lucien;434;*;72.4;*;97.9;*;29.8;*;588;*;6
28350;Saint-Luperce;1665;;166.5;;114.3;;3.5;;1143;;10
28351;Saint-Maixme-Hauterive;1380;;153.3;;165.3;;34.2;;1488;;9
28352;Saint-Martin-de-Nigelles;1004;;334.5;;304.2;;214.1;;912;;3
28353;Saint-Maur-sur-le-Loir;1060;;132.5;;106.7;;12.1;;854;;8
28354;Saint-Maurice-Saint-Germain;1052;;150.2;;128.4;;39.2;;899;;7
28355;Saint-Ouen-Marchefroy;700;;116.6;;84.9;;-9.2;;510;;6
28357;Saint-Piat;609;;101.4;;108.1;;2.7;;649;;6
28358;Saint-Prest;857;;77.9;;78.7;;12.3;;866;;11
28359;Saint-Rémy-sur-Avre;0;;N/A;;N/A;;N/A;;0;;0
28360;Saint-Sauveur-Marville;1802;;163.8;;154.4;;40.1;;1699;;11
28362;Saint-Victor-de-Buthon;3219;;161;;119.9;;29.1;;2398;;20
28363;Sainville;3611;;328.3;;201.2;;48.7;;2213;;11
28364;Sancheville;4370;;218.5;;105.4;;12.4;;2107;;20
28365;Sandarville;2354;;261.6;;128.5;;6.8;;1156;;9
28366;Santeuil;805;;201.2;;119.2;;10.5;;477;;4
28367;Santilly;2976;;270.6;;134.1;;8.9;;1475;;11
28368;La Saucelle;1510;;167.7;;121;;-1.3;;1089;;9
28369;Saulnières;923;;184.6;;153.7;;-135.2;;769;;5
28370;Saumeray;2280;;228;;174.6;;49.7;;1746;;10
28371;Saussay;404;;134.6;;110.3;;-3;;331;;3
28372;Senantes;734;;122.3;;119.9;;-9.9;;719;;6
28373;Senonches;1261;;84.1;;82.5;;18;;1237;;15
28374;Serazereux;2248;;281;;214.3;;57.1;;1714;;8
28375;Serville;688;;86;;71;;-21.2;;568;;8
28377;Sorel-Moussel;154;;51.3;;62.5;;14.8;;188;;3
28378;Souancé-au-Perche;2526;;229.7;;108.3;;52.6;;1192;;11
28379;Soulaires;221;*;73.7;*;73.3;*;8.3;*;220;*;3
28380;Sours;3660;;174.3;;126.5;;21.2;;2656;;21
28382;Terminiers;6966;;316.6;;153.3;;44.7;;3372;;22
28383;Theuville;6838;;359.9;;164.7;;46.9;;3128;;19
28385;Le Thieulin;649;;162.1;;155.8;;51.1;;623;;4
28386;Thimert-Gâtelles;5203;;192.7;;164.7;;26.2;;4447;;27
28387;Thiron-Gardais;836;;278.8;;196.4;;122.4;;589;;3
28388;Thivars;1157;;165.3;;146.5;;34.1;;1025;;7
28389;Thiville;3975;;209.2;;130.3;;5.9;;2477;;19
28390;Tillay-le-Péneux;2349;;156.6;;100.6;;12.1;;1509;;15
28391;Toury;2052;;186.5;;121.5;;27.5;;1337;;11
28392;Trancrainville;2920;;243.3;;120.9;;-5.3;;1450;;12
28393;Tremblay-les-Villages;7081;;181.6;;145.8;;19.6;;5688;;39
28394;Tréon;672;;168;;162.8;;-8.2;;651;;4
28395;Trizay-Coutretot-Saint-Serge;905;;100.5;;106.5;;13.7;;958;;9
28396;Trizay-lès-Bonneval;868;;124;;89.9;;14.6;;629;;7
28397;Umpeau;1594;;177.1;;146.5;;-12;;1319;;9
28398;Unverre;7666;;142;;91;;14.1;;4915;;54
28400;Varize;2288;;286;;158.2;;29.2;;1266;;8
28401;Vaupillon;1687;;129.7;;122.4;;11.4;;1591;;13
28403;Ver-lès-Chartres;970;;161.6;;141.6;;21.9;;850;;6
28404;Vernouillet;1180;;236;;202.2;;103.2;;1011;;5
28405;Vert-en-Drouais;695;;139;;118.8;;63.5;;594;;5
28406;Éole-en-Beauce;20664;;317.9;;155;;19.2;;10077;;65
28407;Vichères;1914;;159.5;;108.5;;44;;1302;;12
28408;Vierville;1043;;208.5;;90.3;;-51.6;;452;;5
28409;Vieuvicq;2493;;191.7;;155.6;;19.5;;2023;;13
28410;Villampuy;4064;;290.3;;117.2;;0.5;;1641;;14
28411;Villars;870;;217.6;;179.3;;29.6;;717;;4
28414;Villebon;162;;161.6;;156.4;;-113.7;;156;;1
28415;Villemeux-sur-Eure;1766;;196.2;;171.3;;73.4;;1542;;9
28417;Villiers-le-Morhier;326;;162.9;;167.8;;55.5;;336;;2
28418;Villiers-Saint-Orien;2566;;213.8;;123.4;;23.9;;1481;;12
28419;Vitray-en-Beauce;741;;105.8;;107.3;;28.7;;751;;7
28421;Voise;768;;767.6;;274.6;;143.1;;275;;1
28422;Les Villages Vovéens;9073;;245.2;;129.1;;13.8;;4778;;37
28423;Yermenonville;398;;198.8;;189.6;;83.8;;379;;2
28424;Yèvres;4880;;97.6;;89.1;;11.6;;4455;;50
28425;Ymeray;221;;73.8;;74.8;;-41.8;;224;;3
28426;Ymonville;3435;;343.5;;204.2;;5;;2042;;10
29001;Argol;2357;;147.3;;59.8;;5.3;;956;;16
29002;Arzano;7295;;331.6;;82.5;;5.1;;1814;;22
29003;Audierne;1797;;105.7;;48.9;;7.1;;831;;17
29004;Bannalec;18515;;234.4;;64;;10.7;;5053;;79
29005;Baye;930;;185.9;;42.3;;-14.2;;212;;5
29006;Bénodet;348;;87;;12.4;;0.5;;49;;4
29007;Berrien;3290;;131.6;;51.3;;6.8;;1284;;25
29008;Beuzec-Cap-Sizun;11664;;324;;71.8;;10.7;;2586;;36
29010;Bodilis;14498;;483.3;;74.1;;20.8;;2222;;30
29011;Bohars;1839;;367.7;;35.1;;-52.1;;175;;5
29012;Bolazec;4537;;324.1;;76.8;;14.3;;1075;;14
29013;Botmeur;478;;238.9;;153.5;;59.2;;307;;2
29014;Botsorhel;5062;;230.1;;63.3;;-4.1;;1393;;22
29015;Bourg-Blanc;17190;;373.7;;51;;8.9;;2344;;46
29016;Brasparts;6892;;265.1;;75.5;;4.6;;1963;;26
29017;Brélès;5302;;353.4;;72.9;;17.2;;1093;;15
29018;Brennilis;1190;;119;;68.7;;8.3;;687;;10
29019;Brest;5829;;388.6;;54.9;;30.3;;824;;15
29020;Briec;19910;;255.3;;58.3;;8.8;;4550;;78
29021;Plounéour-Brignogan-plages;9462;;525.7;;39.7;;10.6;;714;;18
29022;Camaret-sur-Mer;131;;65.5;;46.8;;6.6;;94;;2
29023;Carantec;2464;;205.4;;39.9;;3.3;;479;;12
29024;Carhaix-Plouguer;3879;;176.3;;43.6;;3.6;;959;;22
29025;Cast;7670;;219.1;;65;;6.3;;2275;;35
29026;Châteaulin;2841;;236.7;;88.9;;40.8;;1067;;12
29027;Châteauneuf-du-Faou;14868;;291.5;;49.9;;6.5;;2545;;51
29028;Cléden-Cap-Sizun;1620;;231.4;;75.5;;19.3;;528;;7
29029;Cléden-Poher;6291;;285.9;;88.6;;35.7;;1950;;22
29030;Cléder;71219;;809.3;;27.3;;5.7;;2404;;88
29031;Clohars-Carnoët;3779;;171.8;;70.8;;0.8;;1558;;22
29032;Clohars-Fouesnant;757;;151.3;;101.8;;50.3;;509;;5
29033;Le Cloître-Pleyben;10152;;423;;78.4;;18.1;;1882;;24
29034;Le Cloître-Saint-Thégonnec;4343;*;310.2;*;98.8;*;21.3;*;1384;*;14
29035;Coat-Méal;3460;;384.5;;44.4;;3.2;;400;;9
29036;Collorec;3455;;157;;83.1;;6.2;;1827;;22
29037;Combrit;5507;;550.7;;52.2;;16.1;;522;;10
29038;Commana;10007;;345.1;;53.4;;2.2;;1549;;29
29039;Concarneau;4454;;143.7;;51.4;;3.5;;1593;;31
29040;Le Conquet;2615;;201.1;;26;;5.2;;338;;13
29041;Coray;4797;;199.9;;78.4;;16.4;;1882;;24
29042;Crozon;5024;;162.1;;65.1;;8.8;;2019;;31
29043;Daoulas;935;;116.9;;47.9;;-0.6;;383;;8
29044;Dinéault;6107;;185.1;;65.7;;3.1;;2167;;33
29045;Dirinon;13953;;465.1;;66.9;;20.9;;2007;;30
29046;Douarnenez;2434;;105.8;;32.9;;-3.4;;756;;23
29047;Le Drennec;5301;;311.9;;68.6;;19;;1166;;17
29048;Edern;9990;;256.2;;65.9;;5.6;;2569;;39
29049;Elliant;19483;;286.5;;78.9;;13.4;;5368;;68
29051;Ergué-Gabéric;7914;;376.9;;50.7;;6.6;;1065;;21
29053;Le Faou;538;;179.4;;78.4;;21.2;;235;;3
29054;La Feuillée;964;;96.4;;78.6;;22.4;;786;;10
29055;Le Folgoët;3701;;411.2;;72.3;;17.7;;650;;9
29056;La Forest-Landerneau;352;;117.4;;27.9;;5.5;*;84;;3
29057;La Forêt-Fouesnant;1465;;104.7;;43.7;;-7.4;;612;;14
29058;Fouesnant;1993;;94.9;;25.4;;7.2;;533;;21
29059;Garlan;5535;;346;;43.4;;9.2;;694;;16
29060;Gouesnach;923;;153.8;;82.3;;48.7;;494;;6
29061;Gouesnou;7515;;751.5;;41.9;;5.3;;419;;10
29062;Gouézec;11024;;459.3;;75.6;;23.5;;1814;;24
29063;Goulien;3370;;198.2;;72.4;;13.7;;1230;;17
29064;Goulven;5334;;484.9;;64;;7;;704;;11
29065;Gourlizon;2190;;128.8;;62;;8.8;;1053;;17
29066;Guengat;2073;;121.9;;59.9;;-1.7;;1019;;17
29067;Guerlesquin;3773;;290.2;;58.9;;17.9;;765;;13
29068;Guiclan;26345;;497.1;;62.6;;12.6;;3320;;53
29069;Guilers;6339;;452.8;;57.7;;24.6;;808;;14
29070;Guiler-sur-Goyen;2138;;178.1;;47.7;;8.1;;572;;12
29071;Guilligomarc'h;4290;;330;;86.2;;19.1;;1120;;13
29072;Guilvinec;0;;N/A;;N/A;;N/A;;0;;0
29073;Guimaëc;5532;;240.5;;43.3;;5.8;;995;;23
29074;Guimiliau;2869;;239.1;;39.6;;5.8;;476;;12
29075;Guipavas;25536;;543.3;;45;;6.6;;2117;;47
29076;Milizac-Guipronvel;30601;;624.5;;60.8;;23;;2978;;49
29077;Guissény;9940;;382.3;;53.3;;18.7;;1385;;26
29078;Hanvec;7819;;223.4;;84.5;;8.3;;2956;;35
29079;Henvic;4430;;316.4;;31.6;;11.2;;443;;14
29080;Hôpital-Camfrout;448;;112;;75.6;;20;;302;;4
29081;Huelgoat;1019;;169.9;;59.3;;13.6;;356;;6
29082;Île-de-Batz;1578;;98.6;;6.5;;0.7;;104;;16
29083;Île-de-Sein;0;;N/A;;N/A;;N/A;;0;;0
29084;Île-Molène;80;;40.1;;16.7;;N/A;;33;;2
29085;Île-Tudy;0;;N/A;;N/A;;N/A;;0;;0
29086;Irvillac;12240;;510;;128.4;;32.2;;3082;;24
29087;Le Juch;3935;;196.7;;63.4;;4.9;;1268;;20
29089;Kergloff;15824;;586.1;;88.6;;27.1;;2392;;27
29090;Kerlaz;2164;;166.4;;51.4;;0.2;;668;;13
29091;Kerlouan;9053;;312.2;;32.7;;2.7;;947;;29
29093;Kernilis;6407;;533.9;;61.5;;21.1;;738;;12
29094;Kernouës;1014;;202.9;;50.9;;2.7;;254;;5
29095;Kersaint-Plabennec;6129;;322.6;;54.9;;9;;1044;;19
29097;Lampaul-Guimiliau;5526;;290.9;;53.1;;8.5;;1009;;19
29098;Lampaul-Plouarzel;646;;646;;1.7;;-11.6;;2;;1
29099;Lampaul-Ploudalmézeau;1648;;164.8;;43.6;;2.9;;436;;10
29100;Lanarvily;257;;64.3;;29.6;;-30.3;;118;;4
29101;Landéda;3004;;500.7;;78.6;;37.5;;472;;6
29102;Landeleau;10213;;378.3;;72.7;;13.3;;1964;;27
29103;Landerneau;102;*;25.6;*;12.3;*;-1.4;*;49;*;4
29104;Landévennec;2782;;231.8;;67.6;;7.9;;811;;12
29105;Landivisiau;6074;;405;;44.9;;12.6;;674;;15
29106;Landrévarzec;7224;;314.1;;79.2;;20.3;;1822;;23
29107;Landudal;3009;;167.2;;50.6;;5.2;;911;;18
29108;Landudec;2859;;204.2;;88.9;;8.7;;1244;;14
29109;Landunvez;9192;;574.5;;37.7;;7.5;;602;;16
29110;Langolen;3505;;219.1;;83.3;;39.5;;1332;;16
29111;Lanhouarneau;11846;;438.7;;50.5;;5.9;;1363;;27
29112;Lanildut;1557;;519.1;;79.6;;28.5;;239;;3
29113;Lanmeur;10958;;254.8;;46;;4.8;;1978;;43
29114;Lannéanou;2011;;287.3;;106;;25.5;;742;;7
29115;Lannédern;4022;;402.2;;95;;11;;950;;10
29116;Lanneuffret;1923;;641;;116.4;;63.5;*;349;;3
29117;Lannilis;14946;;467.1;;57.8;;15.8;;1850;;32
29119;Lanrivoaré;7161;;447.5;;71.6;;33.1;;1146;;16
29120;Lanvéoc;582;;116.4;;82.5;;-16;;412;;5
29122;Laz;2719;;108.8;;51.8;;7.8;;1294;;25
29123;Lennon;11701;;468.1;;78.3;;12.4;;1957;;25
29124;Lesneven;817;;136.2;;30;;-2.7;;180;;6
29125;Leuhan;6106;;210.5;;89.2;;10.2;;2586;;29
29126;Loc-Brévalaire;2384;;476.9;;98.5;;29.8;;492;;5
29128;Loc-Eguiner;10488;;953.5;;71;;20.8;;781;;11
29130;Locmaria-Plouzané;10121;;404.8;;76.8;;23.8;;1920;;25
29131;Locmélar;3895;;389.5;;102.1;;40.5;;1021;;10
29132;Locquénolé;0;;N/A;;N/A;;N/A;;0;;0
29133;Locquirec;822;;164.4;;30.5;;-3.5;;153;;5
29134;Locronan;1017;;203.3;;47.9;;-30;;239;;5
29135;Loctudy;1392;;198.8;;45;;8.6;;315;;7
29136;Locunolé;8415;;400.7;;74.8;;9.6;;1571;;21
29137;Logonna-Daoulas;745;;124.1;;32.9;;-12.5;;197;;6
29139;Lopérec;7399;;246.6;;76.9;;10.2;;2308;;30
29140;Loperhet;7388;;369.4;;32.4;;5.5;;649;;20
29141;Loqueffret;705;;88.1;;56.1;;-2.5;;449;;8
29142;Lothey;9302;;465.1;;80.9;;20.6;;1617;;20
29143;Mahalon;7516;;313.2;;70.2;;11.9;;1686;;24
29144;La Martyre;5988;;399.2;;68.4;;3.5;;1026;;15
29145;Confort-Meilars;5102;;268.6;;66.6;;16.5;;1266;;19
29146;Melgven;10518;;256.5;;82;;5.8;;3361;;41
29147;Mellac;7418;;309.1;;87.6;;24.9;;2103;;24
29148;Mespaul;20622;;896.6;;37.9;;12.3;;872;;23
29150;Moëlan-sur-Mer;7329;;293.2;;57.4;;-2.4;;1435;;25
29151;Morlaix;7590;;361.4;;44.9;;6.7;;944;;21
29152;Motreff;6062;;252.6;;69.3;;13.8;;1662;;24
29153;Névez;862;;95.7;;46.2;;-8.8;;416;;9
29155;Ouessant;0;;N/A;;N/A;;N/A;;0;;0
29156;Pencran;558;*;139.4;*;45.5;*;-19;*;182;*;4
29158;Penmarch;64;;31.9;;39.5;;22.1;;79;;2
29159;Peumerit;4115;;141.9;;43.4;;-2;;1259;;29
29160;Plabennec;26076;;338.6;;45.4;;6.9;;3493;;77
29161;Pleuven;1458;;162;;84.5;;39.1;;760;;9
29162;Pleyben;31187;;375.7;;69.2;;7.6;;5743;;83
29163;Pleyber-Christ;19365;;537.9;;89.9;;13.2;;3235;;36
29165;Plobannalec-Lesconil;606;;60.6;;53;;4.6;;530;;10
29166;Ploéven;2626;;238.7;;73.4;;24.7;;807;;11
29167;Plogastel-Saint-Germain;12385;;353.9;;59.5;;3.4;;2081;;35
29168;Plogoff;196;;49;;30.6;;8.4;*;122;;4
29169;Plogonnec;10720;;167.5;;60.9;;10.5;;3900;;64
29170;Plomelin;3458;;150.3;;56;;6.1;;1288;;23
29171;Plomeur;21333;;927.5;;71.8;;9.4;;1651;;23
29172;Plomodiern;14532;;309.2;;68.4;;7;;3214;;47
29173;Plonéis;8691;;310.4;;66.4;;8.6;;1860;;28
29174;Plonéour-Lanvern;8387;;190.6;;64.5;;0.3;;2836;;44
29175;Plonévez-du-Faou;16915;;203.8;;64.9;;4.3;;5384;;83
29176;Plonévez-Porzay;12073;;377.3;;75.7;;14.1;;2422;;32
29177;Plouarzel;16548;;472.8;;79.6;;28.7;;2785;;35
29178;Ploudalmézeau;14301;;529.7;;67.4;;20.6;;1819;;27
29179;Ploudaniel;19014;;306.7;;57;;11.2;;3532;;62
29180;Ploudiry;14151;;566;;83.6;;2.5;;2090;;25
29181;Plouédern;13566;;521.8;;67.3;;4.5;;1750;;26
29182;Plouégat-Guérand;5044;;240.2;;50.5;;9.3;;1060;;21
29183;Plouégat-Moysan;3912;;230.1;;56.8;;-5.8;;965;;17
29184;Plouénan;30430;;507.2;;31.7;;5.3;;1899;;60
29185;Plouescat;12267;;423;;20.2;;2.1;;587;;29
29186;Plouezoc'h;4137;;295.5;;83.3;;21.7;;1167;;14
29187;Plougar;18437;;558.7;;50.4;;11.2;;1664;;33
29188;Plougasnou;6687;;222.9;;69;;17.1;;2069;;30
29189;Plougastel-Daoulas;26811;;323;;9.9;;1.1;;825;;83
29190;Plougonvelin;4379;;257.6;;55.8;;12.9;;948;;17
